gid,role,role_base,role_detail,is_truncated,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,pass_through,fast_share,tainted_in_kzt,taint_share,taint_state_share,taint_iterations,block_impact,betweenness,seed_sources,p_onward,cycles_le4
100000003684369100,coordinator,coordinator,coordinator,False,1.0,3,1.0,"Признаки узла управления: получает от 24, переводит 62 получателям, по посредничеству в топ-1% узлов, достижим от 9 seed. Seed: входящие занижены выгрузкой.",0,True,24,62,3848436.0,8588655.0,2.2317260830113845,1.0,3063507.1197756035,0.7960395131361424,1.0,8,0.05797308340014701,0.0023030748381841454,9,,1
100000008165763100,coordinator,coordinator,coordinator,False,1.0,3,0.9761,"Признаки узла управления: получает от 15, переводит 17 получателям, по посредничеству в топ-3% узлов, достижим от 9 seed.",1,False,15,17,1165815.0,1267858.0,1.087529324978663,0.6805848919989462,806949.4240804112,0.6921762235692723,0.6615280054252735,8,0.006248707729801925,0.00034529403323309597,9,,0
100000003115284100,consolidator,consolidator,consolidator,False,1.0,11,0.9598,"Признаки сбора: 8 разных плательщиков, получил 2,2 млн, до 7 плат. в один день; передал дальше 24%.",1,False,8,2,2160500.0,517000.0,0.23929645915297384,0.9864603481624759,1662806.0880080631,0.7696394760509434,0.7172415535602418,8,0.008325228838793962,0.00012780471914467138,11,,2
100000000331309100,coordinator,coordinator,coordinator,False,0.75,8,0.9571,"Признаки узла управления: получает от 5, переводит 99 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",2,False,5,99,984635.0,23001375.0,23.360306103276848,0.3584307459880116,643484.7762641433,0.6535262064258769,0.6191780653028206,8,0.0790235084361754,0.004557234050267506,7,,2
100000000437046100,coordinator,coordinator,coordinator,False,0.95,1,0.9561,"Признаки узла управления: получает от 9, переводит 42 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",2,False,9,42,1107200.0,7606224.0,6.86978323699422,0.8674551262229458,841456.4555426697,0.7599859605696078,0.7461739165828802,8,0.03188426028124781,0.00219714849479704,7,,42
100000008477350100,coordinator,coordinator,coordinator,False,1.0,1,0.9507,"Признаки узла управления: получает от 11, переводит 39 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",2,False,11,39,610100.0,3374866.0,5.531660383543682,0.5698872192258893,513935.4742637473,0.8423790759936851,0.8307809625746377,8,0.027585505268886337,0.0025171940682580047,7,,34
100000008686313100,coordinator,coordinator,coordinator,False,0.65,1,0.9478,"Признаки узла управления: получает от 6, переводит 7 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",1,False,6,7,1912716.0,333800.0,0.17451623764322566,1.0,1419818.8392574985,0.7423050987483236,0.6747911488461636,8,0.005943825823982882,0.0019848260248329463,7,,42
100000001857829100,coordinator,coordinator,coordinator,False,0.8,6,0.9439,"Признаки узла управления: получает от 6, переводит 16 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",2,False,6,16,888535.0,2390993.0,2.690938454872346,0.8154867036415414,437585.32553917484,0.49247955965625984,0.4145773545613948,8,0.030840190982577332,0.00195959937727883,7,,6
100000005074393100,consolidator,consolidator,consolidator,False,0.5,13,0.9428,"Признаки сбора: 4 разных плательщиков, получил 563 тыс; передал дальше 122%.",1,False,4,6,563026.0,685500.0,1.2175281425724567,0.06637490882567469,463574.929739694,0.8233632722817312,0.7705903706777267,8,0.005432104553021923,0.00021697080226886072,10,,3
100000007908818100,consolidator,consolidator,consolidator,False,0.65,3,0.9411,"Признаки сбора: 4 разных плательщиков, получил 727 тыс; передал дальше 42%.",1,False,4,6,727475.0,302000.0,0.4151345407058662,0.04966887417218543,565104.2570899373,0.7768023053574863,0.7465905016438356,8,0.0031990487565137383,0.00017753957884283033,11,,0
100000004156082100,coordinator,coordinator,coordinator,False,0.75,15,0.9371,"Признаки узла управления: получает от 5, переводит 26 получателям, по посредничеству в топ-1% узлов, достижим от 7 seed.",1,False,5,26,377366.11,2319556.0,6.146699288921308,0.9590438859850765,375265.97097437165,0.9944347439529524,0.9929782575968708,8,0.011506397118900792,0.002040035139413781,7,,6
100000006866783100,coordinator,coordinator,coordinator,False,1.0,1,0.9306,"Признаки узла управления: получает от 13, переводит 67 получателям, по посредничеству в топ-1% узлов, достижим от 6 seed. Seed: входящие занижены выгрузкой.",0,True,13,67,838812.0,3948037.0,4.706700667133994,1.0,601148.1949055813,0.7166661837283936,1.0,8,0.23053462576184638,0.006045225264012875,6,,93
100000003016635100,coordinator,coordinator,coordinator,False,0.9,7,0.9299,"Признаки узла управления: получает от 8, переводит 73 получателям, по посредничеству в топ-1% узлов, достижим от 6 seed. Seed: входящие занижены выгрузкой.",0,True,8,73,586981.0,9414081.0,16.038135817002594,0.9350810769527053,537267.6912133686,0.9153067837176477,1.0,8,0.1229122826174751,0.007215469082446287,6,,13
100000006889963100,consolidator,consolidator,consolidator,False,0.65,8,0.9254,"Признаки сбора: 4 разных плательщиков, получил 1,4 млн, до 4 плат. в один день; передал дальше 31%.",1,False,4,1,1431000.0,443475.8,0.30990621942697416,1.0,1126359.0141565565,0.7871132174399417,0.7379025428939187,8,0.0057435561955537975,2.5164650126160102e-05,11,,0
100000007442518100,coordinator,coordinator,coordinator,False,0.7,29,0.9232,"Признаки узла управления: получает от 5, переводит 9 получателям, по посредничеству в топ-4% узлов, достижим от 7 seed.",1,False,5,9,510000.0,4419999.0,8.666664705882352,0.8993212441903268,298994.7068005291,0.5862641309814296,0.4999261725729489,8,0.013809103186441058,0.0002522409418157623,7,,1
